[8:00:58 AM]: Building...
[8:00:58 AM]: Building index.html...
[8:00:59 AM]: Building normalize.css...
[8:00:59 AM]: Building index.js...
[8:00:59 AM]: Building index.js...
[8:00:59 AM]: Building index.js...
[8:00:59 AM]: Building Routes.js...
[8:00:59 AM]: Building react-router-dom.js...
[8:00:59 AM]: Building index.js...
[8:00:59 AM]: Building css-loader.js...
[8:00:59 AM]: Building Add.js...
[8:00:59 AM]: Building Edit.js...
[8:00:59 AM]: Building List.js...
[8:00:59 AM]: Building Home.js...
[8:00:59 AM]: Building react.development.js...
[8:00:59 AM]: Building shim.js...
[8:00:59 AM]: Building runtime.js...
[8:00:59 AM]: Building escape.js...
[8:00:59 AM]: Building react-dom.development.js...
[8:00:59 AM]: Building SingleColumn.js...
[8:00:59 AM]: Building core.regexp.escape.js...
[8:00:59 AM]: Building _core.js...
[8:00:59 AM]: Building index.js...
[8:00:59 AM]: Building asyncToGenerator.js...
[8:00:59 AM]: Building slicedToArray.js...
[8:00:59 AM]: Building index.js...
[8:00:59 AM]: Building bundle-url.js...
[8:00:59 AM]: Building index.js...
[8:00:59 AM]: Building styles.js...
[8:00:59 AM]: Building styledComponent.js...
[8:00:59 AM]: Building Header.js...
[8:00:59 AM]: Building _export.js...
[8:00:59 AM]: Building _replacer.js...
[8:00:59 AM]: Built ../../node_modules/core-js/modules/_core.js...
[8:00:59 AM]: Building runtime.js...
[8:00:59 AM]: Built ../../node_modules/@babel/runtime/helpers/asyncToGenerator.js...
[8:00:59 AM]: Building arrayWithHoles.js...
[8:00:59 AM]: Building iterableToArrayLimit.js...
[8:00:59 AM]: Building nonIterableRest.js...
[8:00:59 AM]: Building axios.js...
[8:00:59 AM]: Building es6.symbol.js...
[8:00:59 AM]: Building es6.object.create.js...
[8:00:59 AM]: Building es6.object.define-property.js...
[8:00:59 AM]: Building es6.object.define-properties.js...
[8:00:59 AM]: Building es6.object.get-own-property-descriptor.js...
[8:00:59 AM]: Building es6.object.get-prototype-of.js...
[8:00:59 AM]: Building es6.object.keys.js...
[8:00:59 AM]: Building es6.object.get-own-property-names.js...
[8:00:59 AM]: Building es6.object.freeze.js...
[8:00:59 AM]: Building es6.object.seal.js...
[8:00:59 AM]: Building es6.object.prevent-extensions.js...
[8:00:59 AM]: Building es6.object.is-frozen.js...
[8:00:59 AM]: Building es6.object.is-sealed.js...
[8:00:59 AM]: Building es6.object.is-extensible.js...
[8:00:59 AM]: Building es6.object.assign.js...
[8:00:59 AM]: Building es6.object.is.js...
[8:00:59 AM]: Building es6.object.set-prototype-of.js...
[8:00:59 AM]: Building es6.object.to-string.js...
[8:00:59 AM]: Building es6.function.bind.js...
[8:00:59 AM]: Building es6.function.name.js...
[8:00:59 AM]: Building es6.function.has-instance.js...
[8:00:59 AM]: Building es6.parse-int.js...
[8:00:59 AM]: Building es6.parse-float.js...
[8:00:59 AM]: Building es6.number.constructor.js...
[8:00:59 AM]: Building es6.number.to-fixed.js...
[8:00:59 AM]: Building es6.number.to-precision.js...
[8:00:59 AM]: Building es6.number.epsilon.js...
[8:00:59 AM]: Building es6.number.is-finite.js...
[8:00:59 AM]: Building es6.number.is-integer.js...
[8:00:59 AM]: Building es6.number.is-nan.js...
[8:00:59 AM]: Building es6.number.is-safe-integer.js...
[8:00:59 AM]: Building es6.number.max-safe-integer.js...
[8:00:59 AM]: Building es6.number.min-safe-integer.js...
[8:00:59 AM]: Building es6.number.parse-float.js...
[8:00:59 AM]: Building es6.number.parse-int.js...
[8:00:59 AM]: Building es6.math.acosh.js...
[8:00:59 AM]: Building es6.math.asinh.js...
[8:00:59 AM]: Building es6.math.atanh.js...
[8:00:59 AM]: Building es6.math.cbrt.js...
[8:00:59 AM]: Building es6.math.clz32.js...
[8:00:59 AM]: Building es6.math.cosh.js...
[8:00:59 AM]: Building es6.math.expm1.js...
[8:00:59 AM]: Building es6.math.fround.js...
[8:00:59 AM]: Building es6.math.hypot.js...
[8:00:59 AM]: Building es6.math.imul.js...
[8:00:59 AM]: Building es6.math.log10.js...
[8:00:59 AM]: Building es6.math.log1p.js...
[8:00:59 AM]: Building es6.math.log2.js...
[8:00:59 AM]: Building es6.math.sign.js...
[8:00:59 AM]: Building es6.math.sinh.js...
[8:00:59 AM]: Building es6.math.tanh.js...
[8:00:59 AM]: Building es6.math.trunc.js...
[8:00:59 AM]: Building es6.string.from-code-point.js...
[8:00:59 AM]: Building es6.string.raw.js...
[8:00:59 AM]: Building es6.string.trim.js...
[8:00:59 AM]: Building es6.string.iterator.js...
[8:00:59 AM]: Building es6.string.code-point-at.js...
[8:00:59 AM]: Building es6.string.ends-with.js...
[8:00:59 AM]: Building es6.string.includes.js...
[8:00:59 AM]: Building es6.string.repeat.js...
[8:00:59 AM]: Building es6.string.starts-with.js...
[8:00:59 AM]: Building es6.string.anchor.js...
[8:00:59 AM]: Building es6.string.big.js...
[8:00:59 AM]: Building es6.string.blink.js...
[8:00:59 AM]: Building es6.string.bold.js...
[8:00:59 AM]: Building es6.string.fixed.js...
[8:00:59 AM]: Building es6.string.fontcolor.js...
[8:00:59 AM]: Building es6.string.fontsize.js...
[8:00:59 AM]: Building es6.string.italics.js...
[8:00:59 AM]: Building es6.string.link.js...
[8:00:59 AM]: Building es6.string.small.js...
[8:00:59 AM]: Building es6.string.strike.js...
[8:00:59 AM]: Building es6.string.sub.js...
[8:00:59 AM]: Building es6.string.sup.js...
[8:00:59 AM]: Building es6.date.now.js...
[8:00:59 AM]: Building es6.date.to-json.js...
[8:00:59 AM]: Building es6.date.to-iso-string.js...
[8:00:59 AM]: Building es6.date.to-string.js...
[8:00:59 AM]: Building es6.date.to-primitive.js...
[8:00:59 AM]: Building es6.array.is-array.js...
[8:00:59 AM]: Building es6.array.from.js...
[8:00:59 AM]: Building es6.array.of.js...
[8:00:59 AM]: Building es6.array.join.js...
[8:00:59 AM]: Building es6.array.slice.js...
[8:00:59 AM]: Building es6.array.sort.js...
[8:00:59 AM]: Building es6.array.for-each.js...
[8:00:59 AM]: Building es6.array.map.js...
[8:00:59 AM]: Building es6.array.filter.js...
[8:00:59 AM]: Building es6.array.some.js...
[8:00:59 AM]: Building es6.array.every.js...
[8:00:59 AM]: Building es6.array.reduce.js...
[8:00:59 AM]: Building es6.array.reduce-right.js...
[8:00:59 AM]: Building es6.array.index-of.js...
[8:00:59 AM]: Building es6.array.last-index-of.js...
[8:00:59 AM]: Building es6.array.copy-within.js...
[8:00:59 AM]: Building es6.array.fill.js...
[8:00:59 AM]: Building es6.array.find.js...
[8:00:59 AM]: Building es6.array.find-index.js...
[8:00:59 AM]: Building es6.array.species.js...
[8:00:59 AM]: Building es6.array.iterator.js...
[8:00:59 AM]: Building es6.regexp.constructor.js...
[8:00:59 AM]: Building es6.regexp.exec.js...
[8:00:59 AM]: Building es6.regexp.to-string.js...
[8:00:59 AM]: Building es6.regexp.flags.js...
[8:00:59 AM]: Building es6.regexp.match.js...
[8:00:59 AM]: Building es6.regexp.replace.js...
[8:00:59 AM]: Building es6.regexp.search.js...
[8:00:59 AM]: Building es6.regexp.split.js...
[8:00:59 AM]: Building es6.promise.js...
[8:00:59 AM]: Building es6.map.js...
[8:00:59 AM]: Building es6.set.js...
[8:00:59 AM]: Building es6.weak-map.js...
[8:00:59 AM]: Building es6.weak-set.js...
[8:00:59 AM]: Building es6.typed.array-buffer.js...
