[11:39:30 AM]: Building...
[11:39:30 AM]: Building index.html...
[11:39:31 AM]: Building normalize.css...
[11:39:31 AM]: Building index.js...
[11:39:31 AM]: Building index.js...
[11:39:31 AM]: Building index.js...
[11:39:31 AM]: Building Routes.js...
[11:39:31 AM]: Building react-router-dom.js...
[11:39:31 AM]: Building index.js...
[11:39:31 AM]: Building css-loader.js...
[11:39:31 AM]: Building react.development.js...
[11:39:31 AM]: Building shim.js...
[11:39:31 AM]: Building runtime.js...
[11:39:31 AM]: Building escape.js...
[11:39:31 AM]: Building Add.js...
[11:39:31 AM]: Building Edit.js...
[11:39:31 AM]: Building List.js...
[11:39:31 AM]: Building Home.js...
[11:39:31 AM]: Building NotFound.js...
[11:39:31 AM]: Building react-dom.development.js...
[11:39:31 AM]: Building SingleColumn.js...
[11:39:31 AM]: Built pages/NotFound.js...
[11:39:31 AM]: Building core.regexp.escape.js...
[11:39:31 AM]: Building _core.js...
[11:39:31 AM]: Building index.js...
[11:39:31 AM]: Building asyncToGenerator.js...
[11:39:31 AM]: Building slicedToArray.js...
[11:39:31 AM]: Building index.js...
[11:39:31 AM]: Building index.js...
[11:39:31 AM]: Building index.js...
[11:39:31 AM]: Building bundle-url.js...
[11:39:31 AM]: Building formik.esm.js...
[11:39:31 AM]: Building index.js...
[11:39:31 AM]: Building Form.js...
[11:39:31 AM]: Building styles.js...
[11:39:31 AM]: Building styledComponent.js...
[11:39:31 AM]: Building Header.js...
[11:39:31 AM]: Building moment.js...
[11:39:31 AM]: Building _export.js...
[11:39:31 AM]: Building _replacer.js...
[11:39:31 AM]: Built ../../node_modules/core-js/modules/_core.js...
[11:39:31 AM]: Building es6.symbol.js...
[11:39:31 AM]: Building es6.object.create.js...
[11:39:31 AM]: Building es6.object.define-property.js...
[11:39:31 AM]: Building es6.object.define-properties.js...
[11:39:31 AM]: Building es6.object.get-own-property-descriptor.js...
[11:39:31 AM]: Building es6.object.get-prototype-of.js...
[11:39:31 AM]: Building es6.object.keys.js...
[11:39:31 AM]: Building es6.object.get-own-property-names.js...
[11:39:31 AM]: Building es6.object.freeze.js...
[11:39:31 AM]: Building es6.object.seal.js...
[11:39:31 AM]: Building es6.object.prevent-extensions.js...
[11:39:31 AM]: Building es6.object.is-frozen.js...
[11:39:31 AM]: Building es6.object.is-sealed.js...
[11:39:31 AM]: Building es6.object.is-extensible.js...
[11:39:31 AM]: Building es6.object.assign.js...
[11:39:31 AM]: Building es6.object.is.js...
[11:39:31 AM]: Building es6.object.set-prototype-of.js...
[11:39:31 AM]: Building es6.object.to-string.js...
[11:39:31 AM]: Building es6.function.bind.js...
[11:39:31 AM]: Building es6.function.name.js...
[11:39:31 AM]: Building es6.function.has-instance.js...
[11:39:31 AM]: Building es6.parse-int.js...
[11:39:31 AM]: Building es6.parse-float.js...
[11:39:31 AM]: Building es6.number.constructor.js...
[11:39:31 AM]: Building es6.number.to-fixed.js...
[11:39:31 AM]: Building es6.number.to-precision.js...
[11:39:31 AM]: Building es6.number.epsilon.js...
[11:39:31 AM]: Building es6.number.is-finite.js...
[11:39:31 AM]: Building es6.number.is-integer.js...
[11:39:31 AM]: Building es6.number.is-nan.js...
[11:39:31 AM]: Building es6.number.is-safe-integer.js...
[11:39:31 AM]: Building es6.number.max-safe-integer.js...
[11:39:31 AM]: Building es6.number.min-safe-integer.js...
[11:39:31 AM]: Building es6.number.parse-float.js...
[11:39:31 AM]: Building es6.number.parse-int.js...
[11:39:31 AM]: Building es6.math.acosh.js...
[11:39:31 AM]: Building es6.math.asinh.js...
[11:39:31 AM]: Building es6.math.atanh.js...
[11:39:31 AM]: Building es6.math.cbrt.js...
[11:39:31 AM]: Building es6.math.clz32.js...
[11:39:31 AM]: Building es6.math.cosh.js...
[11:39:31 AM]: Building es6.math.expm1.js...
[11:39:31 AM]: Building es6.math.fround.js...
[11:39:31 AM]: Building es6.math.hypot.js...
[11:39:31 AM]: Building es6.math.imul.js...
[11:39:31 AM]: Building es6.math.log10.js...
[11:39:31 AM]: Building es6.math.log1p.js...
[11:39:31 AM]: Building es6.math.log2.js...
[11:39:31 AM]: Building es6.math.sign.js...
[11:39:31 AM]: Building es6.math.sinh.js...
[11:39:31 AM]: Building es6.math.tanh.js...
[11:39:31 AM]: Building es6.math.trunc.js...
[11:39:31 AM]: Building es6.string.from-code-point.js...
[11:39:31 AM]: Building es6.string.raw.js...
[11:39:31 AM]: Building es6.string.trim.js...
[11:39:31 AM]: Building es6.string.iterator.js...
[11:39:31 AM]: Building es6.string.code-point-at.js...
[11:39:31 AM]: Building es6.string.ends-with.js...
[11:39:31 AM]: Building es6.string.includes.js...
[11:39:31 AM]: Building es6.string.repeat.js...
[11:39:31 AM]: Building es6.string.starts-with.js...
[11:39:31 AM]: Building es6.string.anchor.js...
[11:39:31 AM]: Building es6.string.big.js...
[11:39:31 AM]: Building es6.string.blink.js...
[11:39:31 AM]: Building es6.string.bold.js...
[11:39:31 AM]: Building es6.string.fixed.js...
[11:39:31 AM]: Building es6.string.fontcolor.js...
[11:39:31 AM]: Building es6.string.fontsize.js...
[11:39:31 AM]: Building es6.string.italics.js...
[11:39:31 AM]: Building es6.string.link.js...
[11:39:31 AM]: Building es6.string.small.js...
[11:39:31 AM]: Building es6.string.strike.js...
[11:39:31 AM]: Building es6.string.sub.js...
[11:39:31 AM]: Building es6.string.sup.js...
[11:39:31 AM]: Building es6.date.now.js...
[11:39:31 AM]: Building es6.date.to-json.js...
[11:39:31 AM]: Building es6.date.to-iso-string.js...
[11:39:31 AM]: Building es6.date.to-string.js...
[11:39:31 AM]: Building es6.date.to-primitive.js...
[11:39:31 AM]: Building es6.array.is-array.js...
[11:39:31 AM]: Building es6.array.from.js...
[11:39:31 AM]: Building es6.array.of.js...
[11:39:31 AM]: Building es6.array.join.js...
[11:39:31 AM]: Building es6.array.slice.js...
[11:39:31 AM]: Building es6.array.sort.js...
[11:39:31 AM]: Building es6.array.for-each.js...
[11:39:31 AM]: Building es6.array.map.js...
[11:39:31 AM]: Building es6.array.filter.js...
[11:39:31 AM]: Building es6.array.some.js...
[11:39:31 AM]: Building es6.array.every.js...
[11:39:31 AM]: Building es6.array.reduce.js...
[11:39:31 AM]: Building es6.array.reduce-right.js...
[11:39:31 AM]: Building es6.array.index-of.js...
[11:39:31 AM]: Building es6.array.last-index-of.js...
[11:39:31 AM]: Building es6.array.copy-within.js...
[11:39:31 AM]: Building es6.array.fill.js...
[11:39:31 AM]: Building es6.array.find.js...
[11:39:31 AM]: Building es6.array.find-index.js...
[11:39:31 AM]: Building es6.array.species.js...
[11:39:31 AM]: Building es6.array.iterator.js...
[11:39:31 AM]: Building es6.regexp.constructor.js...
[11:39:31 AM]: Building es6.regexp.exec.js...
[11:39:31 AM]: Building es6.regexp.to-string.js...
[11:39:31 AM]: Building es6.regexp.flags.js...
[11:39:31 AM]: Building es6.regexp.match.js...
[11:39:31 AM]: Building es6.regexp.replace.js...
[11:39:31 AM]: Building es6.regexp.search.js...
[11:39:31 AM]: Building es6.regexp.split.js...
[11:39:31 AM]: Building es6.promise.js...
[11:39:31 AM]: Building es6.map.js...
[11:39:31 AM]: Building es6.set.js...
[11:39:31 AM]: Building es6.weak-map.js...
[11:39:31 AM]: Building es6.weak-set.js...
[11:39:31 AM]: Building es6.typed.array-buffer.js...
[11:39:31 AM]: Building es6.typed.data-view.js...
[11:39:31 AM]: Building es6.typed.int8-array.js...
[11:39:31 AM]: Building es6.typed.uint8-array.js...
[11:39:31 AM]: Building es6.typed.uint8-clamped-array.js...
[11:39:31 AM]: Building es6.typed.int16-array.js...
[11:39:31 AM]: Building es6.typed.uint16-array.js...
[11:39:31 AM]: Building es6.typed.int32-array.js...
[11:39:31 AM]: Building es6.typed.uint32-array.js...
[11:39:31 AM]: Building es6.typed.float32-array.js...
[11:39:31 AM]: Building es6.typed.float64-array.js...
[11:39:31 AM]: Building es6.reflect.apply.js...
[11:39:31 AM]: Building es6.reflect.construct.js...
[11:39:31 AM]: Building es6.reflect.define-property.js...
[11:39:31 AM]: Building es6.reflect.delete-property.js...
[11:39:31 AM]: Building es6.reflect.enumerate.js...
[11:39:31 AM]: Building es6.reflect.get.js...
[11:39:31 AM]: Building es6.reflect.get-own-property-descriptor.js...
[11:39:31 AM]: Building es6.reflect.get-prototype-of.js...
[11:39:31 AM]: Building es6.reflect.has.js...
[11:39:31 AM]: Building es6.reflect.is-extensible.js...
[11:39:31 AM]: Building es6.reflect.own-keys.js...
[11:39:31 AM]: Building es6.reflect.prevent-extensions.js...
[11:39:31 AM]: Building es6.reflect.set.js...
[11:39:31 AM]: Building es6.reflect.set-prototype-of.js...
[11:39:31 AM]: Building es7.array.includes.js...
[11:39:31 AM]: Building es7.array.flat-map.js...
[11:39:31 AM]: Building es7.array.flatten.js...
[11:39:31 AM]: Building es7.string.at.js...
[11:39:31 AM]: Building es7.string.pad-start.js...
[11:39:31 AM]: Building es7.string.pad-end.js...
[11:39:31 AM]: Building es7.string.trim-left.js...
[11:39:31 AM]: Building es7.string.trim-right.js...
[11:39:31 AM]: Building es7.string.match-all.js...
[11:39:31 AM]: Building es7.symbol.async-iterator.js...
[11:39:31 AM]: Building es7.symbol.observable.js...
[11:39:31 AM]: Building es7.object.get-own-property-descriptors.js...
[11:39:31 AM]: Building es7.object.values.js...
