[12:51:07 PM]: Building...
[12:51:07 PM]: Building index.html...
[12:51:08 PM]: Building normalize.css...
[12:51:08 PM]: Building index.js...
[12:51:08 PM]: Building index.js...
[12:51:08 PM]: Building index.js...
[12:51:08 PM]: Building Routes.js...
[12:51:08 PM]: Building react-router-dom.js...
[12:51:08 PM]: Building index.js...
[12:51:08 PM]: Building css-loader.js...
[12:51:08 PM]: Building shim.js...
[12:51:08 PM]: Building runtime.js...
[12:51:08 PM]: Building escape.js...
[12:51:08 PM]: Building react.development.js...
[12:51:08 PM]: Building Add.js...
[12:51:08 PM]: Building Edit.js...
[12:51:08 PM]: Building List.js...
[12:51:08 PM]: Building Home.js...
[12:51:08 PM]: Building NotFound.js...
[12:51:08 PM]: Building react-dom.development.js...
[12:51:08 PM]: Building SingleColumn.js...
[12:51:08 PM]: Built pages/NotFound.js...
[12:51:08 PM]: Building core.regexp.escape.js...
[12:51:08 PM]: Building _core.js...
[12:51:08 PM]: Building index.js...
[12:51:08 PM]: Building asyncToGenerator.js...
[12:51:08 PM]: Building slicedToArray.js...
[12:51:08 PM]: Building index.js...
[12:51:08 PM]: Building index.js...
[12:51:08 PM]: Building index.js...
[12:51:08 PM]: Building bundle-url.js...
[12:51:08 PM]: Building formik.esm.js...
[12:51:08 PM]: Building index.js...
[12:51:08 PM]: Building Form.js...
[12:51:08 PM]: Building styles.js...
[12:51:08 PM]: Building styledComponent.js...
[12:51:08 PM]: Building Header.js...
[12:51:08 PM]: Building moment.js...
[12:51:08 PM]: Building FormActions.js...
[12:51:08 PM]: Building _export.js...
[12:51:08 PM]: Building _replacer.js...
[12:51:08 PM]: Built ../../node_modules/core-js/modules/_core.js...
[12:51:08 PM]: Building es6.symbol.js...
[12:51:08 PM]: Building es6.object.create.js...
[12:51:08 PM]: Building es6.object.define-property.js...
[12:51:08 PM]: Building es6.object.define-properties.js...
[12:51:08 PM]: Building es6.object.get-own-property-descriptor.js...
[12:51:08 PM]: Building es6.object.get-prototype-of.js...
[12:51:08 PM]: Building es6.object.keys.js...
[12:51:08 PM]: Building es6.object.get-own-property-names.js...
[12:51:08 PM]: Building es6.object.freeze.js...
[12:51:08 PM]: Building es6.object.seal.js...
[12:51:08 PM]: Building es6.object.prevent-extensions.js...
[12:51:08 PM]: Building es6.object.is-frozen.js...
[12:51:08 PM]: Building es6.object.is-sealed.js...
[12:51:08 PM]: Building es6.object.is-extensible.js...
[12:51:08 PM]: Building es6.object.assign.js...
[12:51:08 PM]: Building es6.object.is.js...
[12:51:08 PM]: Building es6.object.set-prototype-of.js...
[12:51:08 PM]: Building es6.object.to-string.js...
[12:51:08 PM]: Building es6.function.bind.js...
[12:51:08 PM]: Building es6.function.name.js...
[12:51:08 PM]: Building es6.function.has-instance.js...
[12:51:08 PM]: Building es6.parse-int.js...
[12:51:08 PM]: Building es6.parse-float.js...
[12:51:08 PM]: Building es6.number.constructor.js...
[12:51:08 PM]: Building es6.number.to-fixed.js...
[12:51:08 PM]: Building es6.number.to-precision.js...
