[4:48:18 PM]: Building...
[4:48:18 PM]: Building index.html...
[4:48:18 PM]: Building normalize.css...
[4:48:18 PM]: Building index.js...
[4:48:18 PM]: Building index.js...
[4:48:18 PM]: Building index.js...
[4:48:18 PM]: Building Routes.js...
[4:48:18 PM]: Building react-router-dom.js...
[4:48:18 PM]: Building index.js...
[4:48:18 PM]: Building css-loader.js...
[4:48:18 PM]: Building react.development.js...
[4:48:18 PM]: Building Add.js...
[4:48:18 PM]: Building Edit.js...
[4:48:18 PM]: Building List.js...
[4:48:18 PM]: Building Home.js...
[4:48:18 PM]: Building shim.js...
[4:48:18 PM]: Building runtime.js...
[4:48:18 PM]: Building escape.js...
[4:48:18 PM]: Building react-dom.development.js...
[4:48:18 PM]: Building SingleColumn.js...
[4:48:18 PM]: Building core.regexp.escape.js...
[4:48:18 PM]: Building _core.js...
[4:48:18 PM]: Building index.js...
[4:48:18 PM]: Building asyncToGenerator.js...
[4:48:18 PM]: Building slicedToArray.js...
[4:48:18 PM]: Building index.js...
[4:48:18 PM]: Building index.js...
[4:48:18 PM]: Building formik.esm.js...
[4:48:18 PM]: Building index.js...
[4:48:18 PM]: Building Form.js...
[4:48:18 PM]: Building bundle-url.js...
[4:48:18 PM]: Building moment.js...
[4:48:18 PM]: Building index.js...
[4:48:18 PM]: Building styles.js...
[4:48:18 PM]: Building styledComponent.js...
[4:48:18 PM]: Building Header.js...
[4:48:18 PM]: Built ../../node_modules/core-js/modules/_core.js...
[4:48:18 PM]: Building _export.js...
[4:48:18 PM]: Building _replacer.js...
[4:48:18 PM]: Building arrayWithHoles.js...
[4:48:18 PM]: Building iterableToArrayLimit.js...
[4:48:18 PM]: Building nonIterableRest.js...
[4:48:18 PM]: Building runtime.js...
[4:48:18 PM]: Built ../../node_modules/@babel/runtime/helpers/asyncToGenerator.js...
[4:48:18 PM]: Building axios.js...
[4:48:18 PM]: Building es6.symbol.js...
[4:48:18 PM]: Building es6.object.create.js...
[4:48:18 PM]: Building es6.object.define-property.js...
[4:48:18 PM]: Building es6.object.define-properties.js...
[4:48:18 PM]: Building es6.object.get-own-property-descriptor.js...
[4:48:18 PM]: Building es6.object.get-prototype-of.js...
[4:48:18 PM]: Building es6.object.keys.js...
[4:48:18 PM]: Building es6.object.get-own-property-names.js...
[4:48:18 PM]: Building es6.object.freeze.js...
[4:48:18 PM]: Building es6.object.seal.js...
[4:48:18 PM]: Building es6.object.prevent-extensions.js...
[4:48:18 PM]: Building es6.object.is-frozen.js...
[4:48:18 PM]: Building es6.object.is-sealed.js...
[4:48:18 PM]: Building es6.object.is-extensible.js...
[4:48:18 PM]: Building es6.object.assign.js...
[4:48:18 PM]: Building es6.object.is.js...
[4:48:18 PM]: Building es6.object.set-prototype-of.js...
[4:48:18 PM]: Building es6.object.to-string.js...
[4:48:18 PM]: Building es6.function.bind.js...
[4:48:18 PM]: Building es6.function.name.js...
[4:48:18 PM]: Building es6.function.has-instance.js...
[4:48:18 PM]: Building es6.parse-int.js...
[4:48:18 PM]: Building es6.parse-float.js...
[4:48:18 PM]: Building es6.number.constructor.js...
[4:48:18 PM]: Building es6.number.to-fixed.js...
[4:48:18 PM]: Building es6.number.to-precision.js...
[4:48:18 PM]: Building es6.number.epsilon.js...
[4:48:18 PM]: Building es6.number.is-finite.js...
[4:48:18 PM]: Building es6.number.is-integer.js...
[4:48:18 PM]: Building es6.number.is-nan.js...
[4:48:18 PM]: Building es6.number.is-safe-integer.js...
[4:48:18 PM]: Building es6.number.max-safe-integer.js...
[4:48:18 PM]: Building es6.number.min-safe-integer.js...
[4:48:18 PM]: Building es6.number.parse-float.js...
[4:48:18 PM]: Building es6.number.parse-int.js...
[4:48:18 PM]: Building es6.math.acosh.js...
[4:48:18 PM]: Building es6.math.asinh.js...
[4:48:18 PM]: Building es6.math.atanh.js...
[4:48:18 PM]: Building es6.math.cbrt.js...
[4:48:18 PM]: Building es6.math.clz32.js...
[4:48:18 PM]: Building es6.math.cosh.js...
[4:48:18 PM]: Building es6.math.expm1.js...
[4:48:18 PM]: Building es6.math.fround.js...
[4:48:18 PM]: Building es6.math.hypot.js...
[4:48:18 PM]: Building es6.math.imul.js...
[4:48:18 PM]: Building es6.math.log10.js...
[4:48:18 PM]: Building es6.math.log1p.js...
[4:48:18 PM]: Building es6.math.log2.js...
[4:48:18 PM]: Building es6.math.sign.js...
[4:48:18 PM]: Building es6.math.sinh.js...
[4:48:18 PM]: Building es6.math.tanh.js...
[4:48:18 PM]: Building es6.math.trunc.js...
[4:48:18 PM]: Building es6.string.from-code-point.js...
[4:48:18 PM]: Building es6.string.raw.js...
[4:48:18 PM]: Building es6.string.trim.js...
[4:48:18 PM]: Building es6.string.iterator.js...
[4:48:18 PM]: Building es6.string.code-point-at.js...
[4:48:18 PM]: Building es6.string.ends-with.js...
[4:48:18 PM]: Building es6.string.includes.js...
[4:48:18 PM]: Building es6.string.repeat.js...
[4:48:18 PM]: Building es6.string.starts-with.js...
[4:48:18 PM]: Building es6.string.anchor.js...
[4:48:18 PM]: Building es6.string.big.js...
[4:48:18 PM]: Building es6.string.blink.js...
[4:48:18 PM]: Building es6.string.bold.js...
[4:48:18 PM]: Building es6.string.fixed.js...
