[1:16:05 PM]: Building...
[1:16:05 PM]: Building index.html...
[1:16:06 PM]: Building normalize.css...
[1:16:06 PM]: Building index.js...
[1:16:06 PM]: Building index.js...
[1:16:06 PM]: Building index.js...
[1:16:06 PM]: Building Routes.js...
[1:16:06 PM]: Building react-router-dom.js...
[1:16:06 PM]: Building index.js...
[1:16:06 PM]: Building css-loader.js...
[1:16:06 PM]: Building react.development.js...
[1:16:06 PM]: Building shim.js...
[1:16:06 PM]: Building runtime.js...
[1:16:06 PM]: Building escape.js...
[1:16:06 PM]: Building Add.js...
[1:16:06 PM]: Building Edit.js...
[1:16:06 PM]: Building List.js...
[1:16:06 PM]: Building Home.js...
[1:16:06 PM]: Building NotFound.js...
[1:16:06 PM]: Building react-dom.development.js...
[1:16:06 PM]: Building SingleColumn.js...
[1:16:06 PM]: Built pages/NotFound.js...
[1:16:06 PM]: Building core.regexp.escape.js...
[1:16:06 PM]: Building _core.js...
[1:16:06 PM]: Building index.js...
[1:16:06 PM]: Building asyncToGenerator.js...
[1:16:06 PM]: Building slicedToArray.js...
[1:16:06 PM]: Building index.js...
[1:16:06 PM]: Building index.js...
[1:16:06 PM]: Building index.js...
[1:16:06 PM]: Building formik.esm.js...
[1:16:06 PM]: Building index.js...
[1:16:06 PM]: Building Form.js...
[1:16:06 PM]: Building bundle-url.js...
[1:16:06 PM]: Building styles.js...
[1:16:06 PM]: Building styledComponent.js...
[1:16:06 PM]: Building Header.js...
[1:16:06 PM]: Building moment.js...
[1:16:06 PM]: Building _export.js...
[1:16:06 PM]: Building _replacer.js...
[1:16:06 PM]: Built ../../node_modules/core-js/modules/_core.js...
[1:16:06 PM]: Building es6.symbol.js...
[1:16:06 PM]: Building es6.object.create.js...
[1:16:06 PM]: Building es6.object.define-property.js...
[1:16:06 PM]: Building es6.object.define-properties.js...
[1:16:06 PM]: Building es6.object.get-own-property-descriptor.js...
[1:16:06 PM]: Building es6.object.get-prototype-of.js...
[1:16:06 PM]: Building es6.object.keys.js...
[1:16:06 PM]: Building es6.object.get-own-property-names.js...
[1:16:06 PM]: Building es6.object.freeze.js...
[1:16:06 PM]: Building es6.object.seal.js...
[1:16:06 PM]: Building es6.object.prevent-extensions.js...
[1:16:06 PM]: Building es6.object.is-frozen.js...
[1:16:06 PM]: Building es6.object.is-sealed.js...
[1:16:06 PM]: Building es6.object.is-extensible.js...
[1:16:06 PM]: Building es6.object.assign.js...
[1:16:06 PM]: Building es6.object.is.js...
[1:16:06 PM]: Building es6.object.set-prototype-of.js...
[1:16:06 PM]: Building es6.object.to-string.js...
[1:16:06 PM]: Building es6.function.bind.js...
[1:16:06 PM]: Building es6.function.name.js...
[1:16:06 PM]: Building es6.function.has-instance.js...
[1:16:06 PM]: Building es6.parse-int.js...
[1:16:06 PM]: Building es6.parse-float.js...
[1:16:06 PM]: Building es6.number.constructor.js...
[1:16:06 PM]: Building es6.number.to-fixed.js...
[1:16:06 PM]: Building es6.number.to-precision.js...
[1:16:06 PM]: Building es6.number.epsilon.js...
[1:16:06 PM]: Building es6.number.is-finite.js...
[1:16:06 PM]: Building es6.number.is-integer.js...
[1:16:06 PM]: Building es6.number.is-nan.js...
[1:16:06 PM]: Building es6.number.is-safe-integer.js...
[1:16:06 PM]: Building es6.number.max-safe-integer.js...
[1:16:06 PM]: Building es6.number.min-safe-integer.js...
[1:16:06 PM]: Building es6.number.parse-float.js...
[1:16:06 PM]: Building es6.number.parse-int.js...
[1:16:06 PM]: Building es6.math.acosh.js...
[1:16:06 PM]: Building es6.math.asinh.js...
[1:16:06 PM]: Building es6.math.atanh.js...
[1:16:06 PM]: Building es6.math.cbrt.js...
[1:16:06 PM]: Building es6.math.clz32.js...
[1:16:06 PM]: Building es6.math.cosh.js...
[1:16:06 PM]: Building es6.math.expm1.js...
[1:16:06 PM]: Building es6.math.fround.js...
[1:16:06 PM]: Building es6.math.hypot.js...
[1:16:06 PM]: Building es6.math.imul.js...
[1:16:06 PM]: Building es6.math.log10.js...
[1:16:06 PM]: Building es6.math.log1p.js...
[1:16:06 PM]: Building es6.math.log2.js...
[1:16:06 PM]: Building es6.math.sign.js...
[1:16:06 PM]: Building es6.math.sinh.js...
[1:16:06 PM]: Building es6.math.tanh.js...
[1:16:06 PM]: Building es6.math.trunc.js...
[1:16:06 PM]: Building es6.string.from-code-point.js...
[1:16:06 PM]: Building es6.string.raw.js...
[1:16:06 PM]: Building es6.string.trim.js...
[1:16:06 PM]: Building es6.string.iterator.js...
[1:16:06 PM]: Building es6.string.code-point-at.js...
[1:16:06 PM]: Building es6.string.ends-with.js...
[1:16:06 PM]: Building es6.string.includes.js...
[1:16:06 PM]: Building es6.string.repeat.js...
[1:16:06 PM]: Building es6.string.starts-with.js...
[1:16:06 PM]: Building es6.string.anchor.js...
[1:16:06 PM]: Building es6.string.big.js...
[1:16:06 PM]: Building es6.string.blink.js...
[1:16:06 PM]: Building es6.string.bold.js...
[1:16:06 PM]: Building es6.string.fixed.js...
[1:16:06 PM]: Building es6.string.fontcolor.js...
[1:16:06 PM]: Building es6.string.fontsize.js...
[1:16:06 PM]: Building es6.string.italics.js...
[1:16:06 PM]: Building es6.string.link.js...
[1:16:06 PM]: Building es6.string.small.js...
[1:16:06 PM]: Building es6.string.strike.js...
[1:16:06 PM]: Building es6.string.sub.js...
[1:16:06 PM]: Building es6.string.sup.js...
[1:16:06 PM]: Building es6.date.now.js...
[1:16:06 PM]: Building es6.date.to-json.js...
[1:16:06 PM]: Building es6.date.to-iso-string.js...
[1:16:06 PM]: Building es6.date.to-string.js...
[1:16:06 PM]: Building es6.date.to-primitive.js...
[1:16:06 PM]: Building es6.array.is-array.js...
[1:16:06 PM]: Building es6.array.from.js...
[1:16:06 PM]: Building es6.array.of.js...
[1:16:06 PM]: Building es6.array.join.js...
[1:16:06 PM]: Building es6.array.slice.js...
[1:16:06 PM]: Building es6.array.sort.js...
[1:16:06 PM]: Building es6.array.for-each.js...
[1:16:06 PM]: Building es6.array.map.js...
[1:16:06 PM]: Building es6.array.filter.js...
[1:16:06 PM]: Building es6.array.some.js...
[1:16:06 PM]: Building es6.array.every.js...
[1:16:06 PM]: Building es6.array.reduce.js...
[1:16:06 PM]: Building es6.array.reduce-right.js...
[1:16:06 PM]: Building es6.array.index-of.js...
[1:16:06 PM]: Building es6.array.last-index-of.js...
[1:16:06 PM]: Building es6.array.copy-within.js...
[1:16:06 PM]: Building es6.array.fill.js...
[1:16:06 PM]: Building es6.array.find.js...
[1:16:06 PM]: Building es6.array.find-index.js...
[1:16:06 PM]: Building es6.array.species.js...
[1:16:06 PM]: Building es6.array.iterator.js...
[1:16:06 PM]: Building es6.regexp.constructor.js...
[1:16:06 PM]: Building es6.regexp.exec.js...
[1:16:06 PM]: Building es6.regexp.to-string.js...
[1:16:06 PM]: Building es6.regexp.flags.js...
[1:16:06 PM]: Building es6.regexp.match.js...
[1:16:06 PM]: Building es6.regexp.replace.js...
[1:16:06 PM]: Building es6.regexp.search.js...
[1:16:06 PM]: Building es6.regexp.split.js...
[1:16:06 PM]: Building es6.promise.js...
[1:16:06 PM]: Building es6.map.js...
[1:16:06 PM]: Building es6.set.js...
[1:16:06 PM]: Building es6.weak-map.js...
[1:16:06 PM]: Building es6.weak-set.js...
[1:16:06 PM]: Building es6.typed.array-buffer.js...
[1:16:06 PM]: Building es6.typed.data-view.js...
[1:16:06 PM]: Building es6.typed.int8-array.js...
[1:16:06 PM]: Building es6.typed.uint8-array.js...
[1:16:06 PM]: Building es6.typed.uint8-clamped-array.js...
[1:16:06 PM]: Building es6.typed.int16-array.js...
[1:16:06 PM]: Building es6.typed.uint16-array.js...
[1:16:06 PM]: Building es6.typed.int32-array.js...
[1:16:06 PM]: Building es6.typed.uint32-array.js...
[1:16:06 PM]: Building es6.typed.float32-array.js...
[1:16:06 PM]: Building es6.typed.float64-array.js...
[1:16:06 PM]: Building es6.reflect.apply.js...
[1:16:06 PM]: Building es6.reflect.construct.js...
[1:16:06 PM]: Building es6.reflect.define-property.js...
[1:16:06 PM]: Building es6.reflect.delete-property.js...
[1:16:06 PM]: Building es6.reflect.enumerate.js...
[1:16:06 PM]: Building es6.reflect.get.js...
[1:16:06 PM]: Building es6.reflect.get-own-property-descriptor.js...
[1:16:06 PM]: Building es6.reflect.get-prototype-of.js...
[1:16:06 PM]: Building es6.reflect.has.js...
