[7:57:06 AM]: Building...
[7:57:06 AM]: Building index.html...
[7:57:07 AM]: Building normalize.css...
[7:57:07 AM]: Building index.js...
[7:57:07 AM]: Building index.js...
[7:57:07 AM]: Building index.js...
[7:57:07 AM]: Building Routes.js...
[7:57:07 AM]: Building react-router-dom.js...
[7:57:07 AM]: Building index.js...
[7:57:07 AM]: Building css-loader.js...
[7:57:07 AM]: Building react.development.js...
[7:57:07 AM]: Building shim.js...
[7:57:07 AM]: Building runtime.js...
[7:57:07 AM]: Building escape.js...
[7:57:07 AM]: Building Add.js...
[7:57:07 AM]: Building Edit.js...
[7:57:07 AM]: Building List.js...
[7:57:07 AM]: Building Home.js...
[7:57:07 AM]: Building react-dom.development.js...
[7:57:07 AM]: Building SingleColumn.js...
[7:57:07 AM]: Building core.regexp.escape.js...
[7:57:07 AM]: Building _core.js...
[7:57:07 AM]: Building index.js...
[7:57:07 AM]: Building asyncToGenerator.js...
[7:57:07 AM]: Building slicedToArray.js...
[7:57:07 AM]: Building index.js...
[7:57:07 AM]: Building bundle-url.js...
[7:57:07 AM]: Building _export.js...
[7:57:07 AM]: Building _replacer.js...
[7:57:07 AM]: Built ../../node_modules/core-js/modules/_core.js...
[7:57:07 AM]: Building index.js...
[7:57:07 AM]: Building styles.js...
[7:57:07 AM]: Building styledComponent.js...
[7:57:07 AM]: Building Header.js...
[7:57:07 AM]: Building es6.symbol.js...
[7:57:07 AM]: Building es6.object.create.js...
[7:57:07 AM]: Building es6.object.define-property.js...
[7:57:07 AM]: Building es6.object.define-properties.js...
[7:57:07 AM]: Building es6.object.get-own-property-descriptor.js...
[7:57:07 AM]: Building es6.object.get-prototype-of.js...
[7:57:07 AM]: Building es6.object.keys.js...
[7:57:07 AM]: Building es6.object.get-own-property-names.js...
[7:57:07 AM]: Building es6.object.freeze.js...
[7:57:07 AM]: Building es6.object.seal.js...
[7:57:07 AM]: Building es6.object.prevent-extensions.js...
[7:57:07 AM]: Building es6.object.is-frozen.js...
[7:57:07 AM]: Building es6.object.is-sealed.js...
[7:57:07 AM]: Building es6.object.is-extensible.js...
[7:57:07 AM]: Building es6.object.assign.js...
[7:57:07 AM]: Building es6.object.is.js...
[7:57:07 AM]: Building es6.object.set-prototype-of.js...
[7:57:07 AM]: Building es6.object.to-string.js...
[7:57:07 AM]: Building es6.function.bind.js...
[7:57:07 AM]: Building es6.function.name.js...
[7:57:07 AM]: Building es6.function.has-instance.js...
[7:57:07 AM]: Building es6.parse-int.js...
[7:57:07 AM]: Building es6.parse-float.js...
[7:57:07 AM]: Building es6.number.constructor.js...
[7:57:07 AM]: Building es6.number.to-fixed.js...
[7:57:07 AM]: Building es6.number.to-precision.js...
[7:57:07 AM]: Building es6.number.epsilon.js...
[7:57:07 AM]: Building es6.number.is-finite.js...
[7:57:07 AM]: Building es6.number.is-integer.js...
[7:57:07 AM]: Building es6.number.is-nan.js...
[7:57:07 AM]: Building es6.number.is-safe-integer.js...
[7:57:07 AM]: Building es6.number.max-safe-integer.js...
[7:57:07 AM]: Building es6.number.min-safe-integer.js...
[7:57:07 AM]: Building es6.number.parse-float.js...
[7:57:07 AM]: Building es6.number.parse-int.js...
[7:57:07 AM]: Building es6.math.acosh.js...
[7:57:07 AM]: Building es6.math.asinh.js...
[7:57:07 AM]: Building es6.math.atanh.js...
[7:57:07 AM]: Building es6.math.cbrt.js...
[7:57:07 AM]: Building es6.math.clz32.js...
[7:57:07 AM]: Building es6.math.cosh.js...
[7:57:07 AM]: Building es6.math.expm1.js...
[7:57:07 AM]: Building es6.math.fround.js...
[7:57:07 AM]: Building es6.math.hypot.js...
[7:57:07 AM]: Building es6.math.imul.js...
[7:57:07 AM]: Building es6.math.log10.js...
[7:57:07 AM]: Building es6.math.log1p.js...
[7:57:07 AM]: Building es6.math.log2.js...
[7:57:07 AM]: Building es6.math.sign.js...
[7:57:07 AM]: Building es6.math.sinh.js...
[7:57:07 AM]: Building es6.math.tanh.js...
[7:57:07 AM]: Building es6.math.trunc.js...
[7:57:07 AM]: Building es6.string.from-code-point.js...
[7:57:07 AM]: Building es6.string.raw.js...
[7:57:07 AM]: Building es6.string.trim.js...
[7:57:07 AM]: Building es6.string.iterator.js...
[7:57:07 AM]: Building es6.string.code-point-at.js...
[7:57:07 AM]: Building es6.string.ends-with.js...
[7:57:07 AM]: Building es6.string.includes.js...
[7:57:07 AM]: Building es6.string.repeat.js...
[7:57:07 AM]: Building es6.string.starts-with.js...
[7:57:07 AM]: Building es6.string.anchor.js...
[7:57:07 AM]: Building es6.string.big.js...
[7:57:07 AM]: Building es6.string.blink.js...
[7:57:07 AM]: Building es6.string.bold.js...
[7:57:07 AM]: Building es6.string.fixed.js...
[7:57:07 AM]: Building es6.string.fontcolor.js...
[7:57:07 AM]: Building es6.string.fontsize.js...
[7:57:07 AM]: Building es6.string.italics.js...
[7:57:07 AM]: Building es6.string.link.js...
[7:57:07 AM]: Building es6.string.small.js...
[7:57:07 AM]: Building es6.string.strike.js...
[7:57:07 AM]: Building es6.string.sub.js...
[7:57:07 AM]: Building es6.string.sup.js...
[7:57:07 AM]: Building es6.date.now.js...
[7:57:07 AM]: Building es6.date.to-json.js...
[7:57:07 AM]: Building es6.date.to-iso-string.js...
[7:57:07 AM]: Building es6.date.to-string.js...
[7:57:07 AM]: Building es6.date.to-primitive.js...
[7:57:07 AM]: Building es6.array.is-array.js...
[7:57:07 AM]: Building es6.array.from.js...
[7:57:07 AM]: Building es6.array.of.js...
[7:57:07 AM]: Building es6.array.join.js...
[7:57:07 AM]: Building es6.array.slice.js...
[7:57:07 AM]: Building es6.array.sort.js...
[7:57:07 AM]: Building es6.array.for-each.js...
[7:57:07 AM]: Building es6.array.map.js...
[7:57:07 AM]: Building es6.array.filter.js...
[7:57:07 AM]: Building es6.array.some.js...
[7:57:07 AM]: Building es6.array.every.js...
[7:57:07 AM]: Building es6.array.reduce.js...
[7:57:07 AM]: Building es6.array.reduce-right.js...
[7:57:07 AM]: Building es6.array.index-of.js...
[7:57:07 AM]: Building es6.array.last-index-of.js...
[7:57:07 AM]: Building es6.array.copy-within.js...
[7:57:07 AM]: Building es6.array.fill.js...
[7:57:07 AM]: Building es6.array.find.js...
[7:57:07 AM]: Building es6.array.find-index.js...
